Id used for finding text block;Contents of text block. Supports markdown formatting.
loc;text
intro;"I have been interested in analytical thinking since my undergraduation in biology. One of my favorite data analysis subject is the dynamic system study. Such modelling technic embraces nonlinearity as an inherent system´s characteristic. Other mathematical theories as chaos theory, complex systems theory and embedology are also of my interest.
"
research_positions_aside;I have worked in a variety of subjects and modelling. I like collaborative environments where I can learn from my peers. 
teaching_experience_aside;I am passionate about education. I believe that no topic is too complex if the teacher is empathetic and willing to think about new methods of approaching task. 
